创金合信量化多因子股票型证券投资基金2016第三季度报告,2016-10-24,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加金融界为代销机构的公告,2016-11-01,证券时报电子报
创金合信基金管理有限公司关于旗下部分基金增加代销机构的公告,2016-11-03,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金开放日常申购、赎回业务的公告,2016-11-22,证券时报电子报
创金合信基金关于针对旗下部分开放式证券投资基金调整直销柜台申购金额的公告,2016-11-24,证券时报电子报
创金合信基金管理有限公司关于提请投资者及时更新过期身份证件或身份证明文件的公告,2016-11-25,证券时报电子报
创金合信基金管理有限公司关于养老金账户通过直销柜台申购、转换转入旗下部分基金产品费率优惠的公告,2016-11-26,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金招募说明书,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金基金份额发售公告,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金基金合同摘要,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金招募说明书,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金招募说明书,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金招募说明书,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金基金份额发售公告,2016-12-02,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金基金合同摘要,2016-12-02,证券时报电子报
创金合信货币市场基金招募说明书（更新）摘要,2016-12-02,证券时报电子报
创金合信基金管理有限公司关于旗下创金合信量化多因子股票型证券投资基金调整申购金额起点的公告,2016-12-06,证券时报电子报
创金合信基金关于针对旗下部分开放式证券投资基金调整直销柜台申购费率的公告,2016-12-08,证券时报电子报
创金合信基金管理有限公司公告（系列）,2016-12-15,证券时报电子报
创金合信陈玉辉：明年看好国企改革板块,2016-12-19,证券时报电子报
创金合信鑫安保本混合型证券投资基金招募说明书（更新）摘要,2016-12-20,证券时报电子报
创金合信基金管理有限公司公告（系列）,2016-12-23,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金开放日常申购、赎回、定期定额投资业务的公告,2016-12-26,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式证券投资基金增加永鑫保险为代销机构的公告,2016-12-28,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-01-04,证券时报电子报
创金合信量化多因子股票型证券投资基金C调整申购、赎回金额的公告,2017-01-05,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加代销机构的公告,2017-01-07,证券时报电子报
创金合信量化多因子股票型证券投资基金C关于增加部分销售渠道的公告,2017-01-11,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金暂停大额申购公告,2017-01-13,证券时报电子报
创金合信基金管理有限公司关于调整旗下部分开放式基金申购和赎回份额额度及最低持有份额额度的公告,2017-01-17,证券时报电子报
创金合信货币市场基金2016第四季度报告,2017-01-23,证券时报电子报
创金合信量化多因子股票型证券投资基金2016第四季度报告,2017-01-23,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金2016第四季度报告,2017-01-23,证券时报电子报
创金合信鑫安保本混合型证券投资基金2016第四季度报告,2017-01-23,证券时报电子报
创金合信基金管理有限公司公告（系列）,2017-01-24,证券时报电子报
创金合信货币市场基金春节前暂停申购公告,2017-01-24,证券时报电子报
创金合信基金管理有限公司关于创金合信尊隆纯债债券型证券投资基金提前结束募集的公告,2017-02-07,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加平安证券为代销机构的公告,2017-02-09,证券时报电子报
创金合信基金管理有限公司关于旗下部分基金估值方法变更的提示性公告,2017-02-11,证券时报电子报
创金合信基金管理有限公司关于旗下部分基金增加代销机构的公告,2017-02-16,证券时报电子报
创金合信量化核心今日发行,2017-02-21,证券时报电子报
创金合信基金管理有限公司关于直销柜台申购费率优惠政策调整的公告,2017-02-22,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金暂停大额申购业务的公告,2017-03-01,证券时报电子报
创金合信基金管理有限公司关于调整创金合信鑫动力灵活配置混合型证券投资基金A类份额赎回费率的公告,2017-03-02,证券时报电子报
创金合信基金管理有限公司关于修改创金合信货币市场基金基金合同的公告,2017-03-08,证券时报电子报
创金合信量化多因子股票型证券投资基金招募说明书（更新）摘要,2017-03-11,证券时报电子报
创金合信基金管理有限公司旗下部分开放式证券投资基金增加上海基煜为代销机构的公告,2017-03-16,证券时报电子报
创金合信基金管理有限公司关于旗下部分开放式证券投资基金增加汇成基金为代销机构的公告,2017-03-24,证券时报电子报
创金合信货币市场基金清明节前暂停申购公告,2017-03-29,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）份额发售公告,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）基金合同摘要,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）招募说明书,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）招募说明书,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）招募说明书,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）份额发售公告,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）基金合同摘要,2017-04-14,证券时报电子报
创金合信鼎鑫睿选定期开放混合型证券投资基金（LOF）招募说明书,2017-04-14,证券时报电子报
创金合信鑫动力灵活配置混合型证券投资基金招募说明书（更新）摘要,2017-04-14,证券时报电子报
创金合信中证1000指数增强型发起式证券投资基金增加大泰金石为代销机构的公告,2017-04-14,证券时报电子报
创金合信基金管理有限公司关于公司旗下部分基金估值调整情况的公告,2017-04-20,证券时报电子报
